form	volume	scan	headword_ocr	printed
dfereon	bsb11762465	549	Gemüß .	dfereon
dferoa	bsb11762465	110	Arm am Leibe .	dferoa
dfim	bsb11762465	269	Bubenstück .	dfim-
dfimmer	bsb11762465	848	men / etc .	dfimmer
dfoam	bsb10314207	232	Zorn .	dfoam
dfobh	bsb11762465	476	Flieffen .	dfobh
dfohar	bsb11762465	1032	Schein .	dfohar
dfor	bsb11762465	687	Heilen .	dfor
dforea	bsb11762465	1082	Seeman .	dforea
dfáam	bsb10314207	23	Trewung .	dfáam
diaconus	bsb11762465	317	Jong .	diaconus
diadon	bsb11762465	699	Hochfart .	diadon
diakan	bsb11762465	774	Kihn .	diakan
diamant	bsb11762465	72	Adamant .	diamant
dianak	bsb11762465	291	Danken .	dianak
diastema	bsb10314207	178	Weite .	diastema
dibbah	bsb11762465	555	Gerücht .	dibbah
dibber	bsb10314207	101	Unterreden .	dibber
diber	bsb11762465	105	Item :	diber
dibh	bsb11762465	167	Be	dibh
dibhrah	bsb11762465	256	Brauch .	dibhrah
dicare	bsb10314207	101	Vntergraben .	dicare
dicca	bsb10314207	71	Verschleiffen .	dicca
diccah	bsb11762465	991	Reinigen .	diccah
dicebatur	bsb11762465	285	Creuk .	dicebatur
dicere	bsb10314207	225	Zeugnuß geben .	dicere
dich	bsb11762465	369	tereinander .	dich
dichſchen	bsb11762465	879	Mesten .	dichſchen
dicimus	bsb11762465	328	Donnern .	Dicimus
dicitur	bsb10314207	155	Wa	dicitur
dicta	bsb11762465	274	ſcheuft .	dicta
dictio	bsb11762465	763	Kalb .	dictio
dictis	bsb11762465	650	Hadern .	dictis
dictum	bsb11762465	280	Cameel .	Dictum
dictus	bsb11762465	297	Daum .	dictus
didah	bsb11762465	271	Buch	didah
dieah	bsb11762465	1070	Schweif .	dieah
dieakah	bsb11762465	561	Geschrey .	dieakah
diefcere	bsb11762465	844	Liecht werden .	diefcere
diekenah	bsb11762465	87	Alt weib .	diekenah
dierem	bsb10314207	115	vngewitter .	dierem
dierum	bsb10314207	202	Woch .	dierum
dies	bsb11762465	830	Leihen .	dies
dieu	bsb11762465	1083	Se	dieu
dieux	bsb11762465	61	Götter .	dieux
difch	bsb11762465	667	Heiligen .	difch
difchichen	bsb11762465	448	Feiftmachen .	difchichen
difcordia	bsb11762465	122	Aufflauff	difcordia
difcrimina	bsb11762465	290	Dancken .	Difcrimina
difcrucians	bsb11762465	100	Angesicht bedecken .	difcrucians
difcutere	bsb10314207	78	Vertreiben .	difcutere
diffamare	bsb11762465	139	Auffündigen .	diffamare
diffe	bsb11762465	96	Anderst sein .	diffe-
difference	bsb10314207	102	Unterscheid .	difference
differunt	bsb11762465	282	Circkel .	Differunt
difgregatio	bsb11762465	1024	Scheidung .	difgregatio
difpenfare	bsb11762465	145	Aufsſpenden .	difpenfare
difpertire	bsb11762465	1045	machen .	difpertire
difplicere	bsb11762465	1030	Schawen .	difplicere
diftri	bsb10314207	224	Zertheilen .	diftri
digatur	bsb10314207	69	Versch .	digatur
digestio	bsb11762465	943	Ordnung .	digestio
diikkim	bsb11762465	772	Ketten .	diikkim
diiknah	bsb11762465	85	Item :	diiknah
diiuk	bsb11762465	284	rung .	diiuk
diligence	bsb11762465	470	Fleaf .	diligence
dilucide	bsb11762465	135	Ausdrücklich .	dilucide
diluere	bsb10314207	64	Vermischen .	diluere
dimah	bsb10314207	175	Weinung .	dimah
dimi	bsb11762465	583	Gleichniß .	dimi
dimin	bsb11762465	880	Måle .	dimin
diminu	bsb11762465	64	• Abnemen .	diminu
diminut	bsb10314207	230	Zinn .	diminut
diminutiuum	bsb11762465	159	Bawrenheußlein .	diminutiuum
dimion	bsb11762465	431	Ex	dimion
dimittere	bsb11762465	144	Aufschicken .	dimittere
dimmah	bsb11762465	581	Gleichen .	dimmah
dimmen	bsb11762465	205	Bestimmen .	dimmen
dimın	bsb11762465	659	Hafe .	dimın
dinah	bsb11762465	817	Landt .	dinah
dine	bsb11762465	909	Nahe darbey sein .	dine
dinem	bsb10314207	195	Wildniß ......	dinem
dinges	bsb10314207	150	Vrsprung .	dinges
dior	bsb11762465	250	Item Gürtel .	dior
dioſe	bsb11762465	883	Misgünstiger .	dioſe
dire	bsb11762465	65	Item :	dire
dirigere	bsb11762465	910	nakal .	dirigere
diritas	bsb11762465	633	Gr	diritas
discernendo	bsb11762465	657	Haar .	discernendo
discous	bsb10314207	47	Mensch .	discous
ditio	bsb11762465	683	Herrschafft .	ditio
ditorium	bsb11762465	1036	Scheune / Schewr .	ditorium
diuendi	bsb10314207	59	Ve	diuendi
diuerberare	bsb10314207	222	Zerschtahen .	diuerberare
diuifer	bsb10314207	224	Zertheilen .	diuifer
diuturna	bsb11762465	818	Langes Leben .	diuturna
diſcindere	bsb11762465	1114	Spalten .	diſcindere
diſpoſitio	bsb11762465	943	Ordnung .	diſpoſitio
diſtendere	bsb10314207	178	Weit machen .	diſtendere
diſtrahi	bsb10314207	255	Zw	diſtrahi
diſtraire	bsb11762465	62	Abhalten .	diſtraire
diſſeminare	bsb11762465	145	Aufſpreiten .	diſſeminare
diſſuadere	bsb11762465	69	Ab	diſſuadere
dober	bsb11762465	528	Gebrauch .	dober
dobh	bsb11762465	476	Flieffung .	dobh
dobherah	bsb11762465	265	Brücke .	dobherah
doch	bsb11762465	111	Arm werden .	doch
docher	bsb11762465	364	Eingedenck .	docher
dodim	bsb11762465	839	Liebe .	dodim
dohar	bsb11762465	843	Liecht / helligkeit .	dohar
doigt	bsb11762465	465	nahmen .	Doigt
dolabrare	bsb11762465	699	Hobelen .	dolabrare
dole	bsb11762465	486	Fr	dole-
dolent	bsb11762465	179	Bekümmert seyn .	dolent
dome	bsb11762465	792	Kot / Dreck .	dome
domeb	bsb10314207	118	Vugleich	domeb
domeh	bsb11762465	580	Gleich .	domeh
domestici	bsb11762465	663	Haußgesind .	domestici
domina	bsb11762465	681	Herrin / Fraw .	Domina
dominator	bsb11762465	681	Herr .	dominator
domini	bsb11762465	906	Mutter Chrifti .	Domini
domino	bsb11762465	1130	St	Domino
domo	bsb11762465	539	Ceigig .	domo
domos	bsb10314207	226	Ziegel .	domos
domum	bsb11762465	751	Jus Haus gehen .	domum
donare	bsb11762465	850	Lohn geben .	donare
donatus	bsb11762465	166	Befreyct .	donatus
dones	bsb11762465	152	Balck .	dones
donner	bsb11762465	178	Bekandt machen .	donner
dopes	bsb11762465	270	Buchdrucker .	dopes
dophi	bsb11762465	470	Flecken .	dophi
dorari	bsb10314207	63	Vermercken .	dorari
dorem	bsb11762465	816	Lampe / Kerke .	dorem
dorer	bsb10314207	56	Vergülden .	dorer
dormire	bsb11762465	1130	St	dormire
dotales	bsb11762465	688	Heyrath gut .	dotales
doth	bsb10314207	149	Prsach .	doth
dots	bsb11762465	390	Erfrewet werden .	dots
doubler	bsb11762465	66	Abschreiben .	doubler
doucement	bsb11762465	106	An	doucement
doſch	bsb11762465	667	Heilig .	doſch
draak	bsb11762465	194	Beruffen / fordern .	draak
dragon	bsb11762465	331	Drach .	dragon
drama	bsb11762465	530	Ordencken :	drama
dref	bsb11762465	469	Flechten .	dref-
drikkim	bsb11762465	508	Fu	drikkim
droham	bsb10314207	109	Vnflat .	droham
droit	bsb11762465	68	Abereiten .	droit
dromedarius	bsb11762465	334	Dromedari .	dromedarius
dromus	bsb11762465	235	Blah .	dromus
drott	bsb11762465	334	Dromedari .	Drott
dsot	bsb11762465	688	Hewr .	dsot
dtechuchith	bsb11762465	577	Glaß .	dtechuchith
ducere	bsb11762465	291	Danken .	ducere
duere	bsb11762465	782	Kleiden .	duere
duftrius	bsb11762465	112	Artig .	duftrius
dugerem	bsb11762465	787	Knoche / Bein .	Dugerem
dugith	bsb11762465	1042	Schifflein .	dugith
dukidar	bsb11762465	460	Fürst .	dukidar
dulari	bsb11762465	1103	Singen .	dulari
dulcor	bsb11762465	1152	Süssigkeit .	dulcor
duph	bsb11762465	1052	Sch	duph
duplex	bsb11762465	284	Corallen .	duplex
duplicatus	bsb11762465	329	Doppelt .	duplicatus
duplus	bsb11762465	329	Doppelt .	Duplus
durah	bsb11762465	1033	Scheiterhauff .	durah
duras	bsb11762465	654	Hammer .	duras
durefcere	bsb10314207	58	Verhertet werden .	durefcere
durr	bsb10314207	48	Verdorren .	Durr
duus	bsb10314207	154	Wa	duus
dæmonu	bsb10314207	217	Ba	Dæmonu
dérech	bsb11762465	817	Landeſtraß .	dérech
díakaph	bsb11762465	121	Auffheben .	díakaph
dſach	bsb11762465	993	Reinigkeit .	dſach
dſakkan	bsb11762465	157	Ba	dſakkan
dſarath	bsb11762465	1110	Sorge .	dſarath
dſechuchith	bsb11762465	286	Cristall .	dſechuchith
dſeg	bsb11762465	882	Mischung .	dſeg
dſepheth	bsb11762465	960	Pich .	dſepheth
dſimmah	bsb11762465	269	Bu	dſimmah
dſimmer	bsb11762465	1103	Singen .	dſimmer
eagal	bsb11762465	100	Angesicht bedecken .	eagal
ebchah	bsb11762465	678	Helle / Klarheit .	ebchah
ebhah	bsb11762465	660	Ha	ebhah
ebhan	bsb11762465	446	Feindschafft .	ebhan
ebhed	bsb11762465	786	Knecht .	ebhed
ebhel	bsb10314207	22	Trawrigkeit .	ebhel
ebhiion	bsb11762465	208	Betteler .	ebhiion
ebion	bsb11762465	374	Geplagt .	ebion
ebrah	bsb11762465	443	Feder .	ebrah
echad	bsb11762465	367	tigkeit .	echad
echaf	bsb10314207	100	lieben .	echaf
echaim	bsb11762465	902	Måhle .	echaim
echolecha	bsb11762465	429	seyn .	echolecha
echoleth	bsb11762465	867	Mechtigkeit .	echoleth
echorach	bsb10314207	164	Weg .	echorach
echtonoth	bsb11762465	529	Gedancke .	echtonoth
eclipfis	bsb11762465	1109	fchein .	eclipfis
ects	bsb11762465	975	Rahtgeber .	ects
edah	bsb11762465	662	Hauff Volcks .	edah
edar	bsb11762465	354	Ehrlich .	edar
eden	bsb11762465	948	Paradis .	eden
eder	bsb11762465	73	Adelkeit .	eder
edfem	bsb11762465	652	Halfbandt .	edfem
edfor	bsb11762465	645	Gürtel .	edfor
edfrach	bsb11762465	160	Bawm .	edfrach
edicere	bsb11762465	669	Heiffen / Befehlen .	edicere
edil	bsb10314207	228	Zinn .	edil
educatio	bsb11762465	120	Aufferzihung .	Educatio
educere	bsb11762465	919	Nasen schnauben	educere
efahel	bsb11762465	160	Bawm .	efahel
efcarter	bsb11762465	67	Ab	efcarter
efch	bsb11762465	262	Brennend Fewer .	efch
efchboarah	bsb11762465	262	Brennend Fewer .	efchboarah
efchbon	bsb10314207	65	Vernunfft .	efchbon
efchcar	bsb11762465	509	Gabe .	efchcar
efchech	bsb11762465	705	peler .	efchech
efcheth	bsb11762465	1032	Schein .	efcheth
efchkol	bsb11762465	332	Dr	efchkol
efcorcement	bsb11762465	67	Abstreiffen .	efcorcement
efek	bsb11762465	1012	Sach .	efek
effe	bsb10314207	82	Verzagen .	effe
effent	bsb11762465	393	Honorifice fepultus eſt .	effent
efficere	bsb11762465	205	Beftettigen .	efficere
effluere	bsb11762465	136	Auffallen .	effluere
effrenatus	bsb11762465	653	Halfstarrig .	effrenatus
effringere	bsb11762465	117	Auffbrechen .	Effringere
effum	bsb11762465	695	Hindersich .	effum
effundat	bsb11762465	856	Mage .	effundat
efinuare	bsb11762465	133	Ausbreiten .	efinuare
efle	bsb11762465	533	Gefallen .	efle
eftre	bsb11762465	63	Ablaffen .	eftre
egel	bsb11762465	763	Kalb .	egel
egerah	bsb11762465	1014	Såge .	egerah
egerminare	bsb11762465	681	fproffen .	egerminare
egestas	bsb11762465	861	Mangel .	egestas
eglife	bsb11762465	777	Kirchweihe .	eglife
eiicere	bsb11762465	1037	Schiessen .	eiicere
eines	bsb10314207	150	Vrsprung .	eines
eiulatus	bsb11762465	779	Item .	eiulatus
ekdach	bsb11762465	280	Carfunckelstein .	ekdach
ekeph	bsb11762465	334	Dromedari .	ekeph
elaborare	bsb11762465	478	Formieren .	elaborare
eled	bsb11762465	775	Kinder .	eled
eleganter	bsb11762465	340	Dürsten .	Eleganter
elem	bsb11762465	775	Kinder .	elem
eleuare	bsb11762465	391	Erheben .	eleuare
elgabiſeſch	bsb11762465	651	Hagel .	elgabiſeſch
eliquare	bsb11762465	1054	Schmelzen .	eliquare
elixare	bsb11762465	1100	Sieden .	elixare
ellych	bsb11762465	279	Busscheer .	ellych-
elohim	bsb11762465	379	Engel .	elohim
elucubrare	bsb10314207	150	Wachen .	elucubrare
elucubratio	bsb11762465	313	Di	elucubratio
elul	bsb11762465	132	Au	elul
embig	bsb10314207	152	Wacker / Fleissig .	embig
emigrare	bsb11762465	141	ziehen .	emigrare
emim	bsb11762465	599	Göke .	emim
emittere	bsb11762465	1037	Schiessen .	emittere
emporeuta	bsb10314207	180	Werber .	emporeuta
empreinte	bsb11762465	859	Mal / Brandtmal .	empreinte
emtio	bsb11762465	767	Kauff .	Emtio
emunah	bsb10314207	24	Trew / Glaube .	Emunah
enaf	bsb11762465	126	Auffsehen .	enaf
encens	bsb10314207	170	Weyrauch .	encens
enclume	bsb11762465	87	Ambof .	enclume
encuſement	bsb11762465	107	Anzeigung .	encuſement
ends	bsb11762465	1137	St	ends
enfem	bsb11762465	1076	Sch	enfem
engendre	bsb11762465	529	Geburt .	engendre-
engin	bsb11762465	1012	mecht .	engin
enoch	bsb11762465	872	Mensche	enoch
enormis	bsb11762465	635	Gros .	enormis
enui	bsb11762465	356	Ciffern .	enui-
enuieillir	bsb11762465	87	Alt werden .	Enuieillir
enuieux	bsb11762465	883	Misgünstiger .	enuieux
enuoyer	bsb11762465	1089	Senden .	enuoyer
eodem	bsb10314207	105	Unterweilen .	eodem
epheh	bsb11762465	72	Adder / Nater .	epheh
epher	bsb11762465	260	Brieffe / Miffiue .	epher
ephes	bsb11762465	921	Nein .	ephes
ephrocha	bsb11762465	762	Thieres .	ephrocha
epidimia	bsb11762465	950	Pestilenk .	epidimia
epifcopus	bsb10314207	164	Wechter .	epifcopus
eptare	bsb11762465	102	Annemen .	eptare
epulum	bsb11762465	859	Mal / Gafterey .	epulum
epur	bsb11762465	826	Leber .	Epur
eques	bsb11762465	996	Reuter .	Eques
equidem	bsb11762465	574	Gewißlich .	equidem
erab	bsb10314207	101	Vnterpfandt .	erab
erabhon	bsb11762465	951	Pfandt .	erabhon
erach	bsb11762465	1090	Senfftigen .	erach
ercs	bsb11762465	208	Beth .	ercs
ereb	bsb11762465	56	Abend .	ereb
erech	bsb11762465	531	Gedültig .	erech
erectus	bsb11762465	981	Recht .	erectus
ereds	bsb11762465	281	chartanotetur .	ereds
ereg	bsb11762465	573	Ge	ereg
eremus	bsb11762465	936	Dede .	eremus
ereptus	bsb11762465	567	Gestorben .	ereptus
eres	bsb11762465	257	Brautbeth .	eres
erets	bsb11762465	312	Deutschlandt .	erets
ergaster	bsb10314207	181	Item :	ergaster
erichtheh	bsb11762465	524	Gafterey .	erichtheh
eripere	bsb11762465	1052	Schlund / Rachen .	eripere
erit	bsb11762465	429	seyn .	erit
erlangen	bsb10314207	38	Vberkommen .	Erlangen
erogare	bsb11762465	145	Aufsſpenden .	erogare
erom	bsb11762465	238	Blof .	erom
erotema	bsb11762465	479	Frag .	erotema
errare	bsb11762465	747	In der jrre gehen .	errare
errorem	bsb10314207	50	Verfüren .	errorem
eruah	bsb11762465	872	Menlich scham .	eruah
eruditio	bsb11762465	193	Bericht .	eruditio
eruere	bsb11762465	383	Entledigen .	eruere
erumpere	bsb11762465	133	Ausbrechen .	erumpere
erythræum	bsb11762465	1006	Note Meer .	erythræum
eryttach	bsb11762465	564	Gefotten .	eryttach
escorcher	bsb11762465	67	Abstreiffen .	escorcher
eslire	bsb11762465	409	Erwehlen .	eslire
espi	bsb11762465	76	Ah	espi
esportis	bsb11762465	145	aufreden .	esportis
espou	bsb11762465	66	Abschrecken .	espou-
estimare	bsb11762465	164	Beduncken .	estimare
estimer	bsb11762465	69	Achten .	estimer
estranges	bsb11762465	61	Götter .	estranges
estre	bsb11762465	96	Anderst sein .	estre
etari	bsb11762465	101	Anhangen .	Etari
etel	bsb11762465	820	Laft / Bürde .	etel
etfah	bsb11762465	974	Rath / Anschlag .	etfah
etfaim	bsb11762465	775	Kinder .	etfaim
etfebh	bsb11762465	1054	Schmerzen .	etfebh
ethachad	bsb11762465	584	Glied .	ethachad
ethanim	bsb11762465	505	ten einer Stadt .	ethanim
ethil	bsb11762465	288	Dachs .	ethil
ethischto	bsb11762465	315	Die Ehe trennen .	ethischto
ethnan	bsb11762465	850	lohn .	ethnan
etiam	bsb11762465	427	Effig .	etiam
etseb	bsb11762465	808	Angst .	etseb
ette	bsb11762465	211	Be	ette
etum	bsb11762465	1011	Ruhig machen .	etum
etun	bsb11762465	154	Bandt .	etun
etymologia	bsb11762465	139	Auflegung .	etymologia
etſim	bsb10314207	228	Zimmerman .	etſim
euenire	bsb11762465	167	Begeben .	euenire
euil	bsb10314207	18	Ther .	euil
euiter	bsb11762465	68	Abwenden .	euiter
eundem	bsb11762465	157	Ba	eundem
euphanim	bsb11762465	704	Hochwirdig .	euphanim
euphoniæ	bsb11762465	431	Ey .	euphoniæ
exagitare	bsb10314207	50	Verfolgen .	exagitare
exagitatus	bsb11762465	974	Rafender .	exagitatus
excalceatus	bsb11762465	156	Barfuß .	excalceatus
excare	bsb11762465	138	Aufhawen .	excare
excedere	bsb11762465	135	Au	excedere
excellence	bsb11762465	463	Fürtreffung .	excellence
excidere	bsb11762465	138	Aufhawen .	Excidere
excipere	bsb11762465	1035	Schepffen .	excipere
excire	bsb11762465	478	Fordern .	excire
excoctum	bsb11762465	543	Geleutert Gold .	excoctum
excutere	bsb11762465	178	Bekümmern .	excutere
exedere	bsb11762465	865	Matt machen .	exedere
exfuperare	bsb10314207	39	Vberschiffen .	exfuperare
exhibet	bsb11762465	394	Er	exhibet
exhorrere	bsb10314207	229	Zitteren .	exhorrere
exiccatus	bsb11762465	338	Du	exiccatus
exiftimare	bsb11762465	653	Item :	exiftimare
exiguus	bsb11762465	782	Klein .	exiguus
eximere	bsb11762465	1030	Schaumen .	eximere
eximius	bsb11762465	136	Auserkoren .	eximius
exordium	bsb11762465	922	New Jahr .	exordium
expandere	bsb11762465	133	Ausbreiten .	expandere
expergifci	bsb11762465	130	Auffwachen .	expergifci
expers	bsb11762465	237	Cuius oculi lucis egent .	expers
expertus	bsb10314207	176	Weiß .	expertus
expetere	bsb11762465	546	Gelüften / Begeren .	expetere
expla	bsb11762465	139	Außleger .	expla-
explere	bsb11762465	426	Essen .	explere
expofer	bsb11762465	139	Auflegen .	expofer
exporrigere	bsb11762465	492	Frotich seyn .	exporrigere
exprimer	bsb11762465	55	Abdrucken .	exprimer
exteratū	bsb11762465	375	Elend / Veriagung .	exteratū
exterere	bsb11762465	877	Meffer weken .	exterere
extollere	bsb11762465	665	He	extollere
extraire	bsb11762465	55	Abbrechen .	extraire
exturbare	bsb10314207	58	Veriagen .	exturbare
exul	bsb11762465	376	Elender / Veriagter .	exul
exulans	bsb11762465	376	Elender / Veriagter .	exulans
exultare	bsb11762465	490	Frewd anzeigen .	exultare
exultatione	bsb11762465	490	Frewd haben .	exultatione
exurgere	bsb11762465	129	Bette .	exurgere
exus	bsb11762465	807	Krum .	exus
exſpectat	bsb10314207	181	Werth .	exſpectat
exſtendere	bsb10314207	178	Weit machen .	exſtendere
exſtruere	bsb11762465	1122	Stadt bawen .	exſtruere
eſclair	bsb11762465	237	Blik .	eſclair
eſclairemët	bsb11762465	237	Blik .	eſclairemët
eſcoufle	bsb10314207	170	Weyhe .	eſcoufle
eſtre	bsb11762465	67	Ab	eſtre
eſſe	bsb11762465	247	Bo	eſſe
faad	bsb10314207	104	Vn	faad
faar	bsb11762465	817	fo man abschneidet .	faar
faba	bsb11762465	244	Bon .	Faba
fabah	bsb11762465	106	An	fabah
fabbar	bsb11762465	288	Dammen .	fabbar
fabbath	bsb11762465	273	Bu	fabbath
faber	bsb11762465	810	Kupfferschmidt .	Faber
fabh	bsb11762465	86	Alter man .	fabh
fabha	bsb10314207	24	Tr	fabha
fabhach	bsb10314207	81	Verwickeln .	fabhach
fabhib	bsb10314207	90	Vmbgang .	fabhib
fabhibh	bsb10314207	88	Vmb .	fabhibh
fabrile	bsb11762465	259	Breit .	Fabrile
fabuch	bsb10314207	81	Verwickelt .	fabuch
facach	bsb11762465	162	Bedecken .	facach
facar	bsb11762465	850	Lohn geben .	facar
facath	bsb11762465	123	Auffmercken .	facath
faccin	bsb11762465	877	Messer .	faccin
facer	bsb10314207	50	Verflucht .	facer
facerdos	bsb11762465	223	Pischoff .	facerdos
facere	bsb11762465	142	Außreiffen .	facere
facha	bsb11762465	62	Abkauffen .	facha
fachab	bsb11762465	771	Keren .	fachab
fachah	bsb11762465	444	Fegen / Keren .	fachah
fachak	bsb11762465	439	Fa	fachak
fachal	bsb11762465	210	Bethoret	fachal
fachaph	bsb11762465	930	No	fachaph
fachar	bsb11762465	68	Ab	fachar
facharatam	bsb10314207	71	Verschliessen .	facharatam
facharti	bsb11762465	411	Es felt mir ein .	facharti
fachat	bsb10314207	90	Vmbgang .	fachat
fachur	bsb11762465	364	Eingedenck .	fachur
facial	bsb11762465	456	Fürchten .	facial
faciem	bsb11762465	100	Angesicht bedecken .	faciem
facile	bsb11762465	339	Dürrholk .	facile
facinorofus	bsb10314207	47	Mensch .	facinorofus
facra	bsb11762465	941	Opffern .	facra
facrificulus	bsb11762465	968	Pr	facrificulus
facris	bsb11762465	160	Bawm .	facris
facrorum	bsb11762465	777	chenordnung .	facrorum
facrum	bsb11762465	941	Opffer .	facrum
facræ	bsb10314207	8	Tempel .	facræ
facta	bsb10314207	211	Wunde .	facta
factis	bsb11762465	447	Feyren .	factis
factum	bsb11762465	269	Bubenstück .	factum
fadar	bsb11762465	943	Dronen .	fadar
fadeh	bsb11762465	70	Acker .	fadeh
fafcia	bsb11762465	258	riem .	Fafcia
faffar	bsb11762465	652	Halß .	faffar
fafon	bsb11762465	490	Fr	fafon
faftidium	bsb11762465	355	Eickel .	faftidium
faftuofus	bsb11762465	700	Hochfertig .	faftuofus
fagad	bsb11762465	93	An	fagad
fagah	bsb10314207	151	Wachsen .	fagah
fagal	bsb11762465	197	Beschlaffen .	fagal
fagar	bsb10314207	13	Thür zuschliessen .	fagar
fagax	bsb11762465	112	Artig .	fagax
fagulum	bsb11762465	464	nisch anlegt .	fagulum
fahad	bsb11762465	219	Bezeugen .	fahad
fahanan	bsb11762465	1009	Ruffen .	fahanan
faillir	bsb11762465	60	Abfallen .	faillir
faiph	bsb10314207	255	nes Baums .	faiph
fair	bsb11762465	243	Bork .	fair
faire	bsb10314207	6	Taubheit .	faire
fakal	bsb10314207	74	Versteinigen .	fakal
falach	bsb10314207	76	Versonen .	falach
falah	bsb11762465	256	Br	falah
falarium	bsb11762465	850	lohn .	falarium
falfa	bsb11762465	138	Au	falfa
faliuum	bsb11762465	1113	drick	faliuum
fall	bsb10314207	41	Ve	fall
fallach	bsb10314207	76	Versoner .	fallach
fallibiliter	bsb10314207	158	Warhafftiglich .	fallibiliter
falue	bsb11762465	1083	Se	falue
faluti	bsb11762465	316	Die flucht geben .	faluti
famach	bsb10314207	104	Vn	famach
faman	bsb11762465	106	Anzeichnen .	faman
famar	bsb11762465	1030	Schaudern .	famar
fameth	bsb11762465	163	Be	fameth
fammim	bsb11762465	575	Gewürk .	fammim
fancte	bsb11762465	574	Gewißlich zusagen .	fancte
fanctificare	bsb11762465	991	Reinigen .	fanctificare
fanctus	bsb11762465	608	Go	fanctus
fane	bsb11762465	883	nen .	fane
fanfue	bsb11762465	742	Il ) Egel	fanfue
fangfue	bsb11762465	347	Egel / Eile .	fangfue
fans	bsb11762465	82	Als bald .	fans
fanum	bsb10314207	8	Tempel .	fanum
fapbam	bsb11762465	774	Kihn .	fapbam
faph	bsb11762465	437	Fay / Gefäß .	faph
faphad	bsb11762465	216	Beweinen .	faphad
faphah	bsb11762465	501	Jügen .	faphah
faphahathar	bsb11762465	1120	Sprach .	faphahathar
faphak	bsb11762465	1048	Schlagen .	faphak
faphan	bsb11762465	162	Bedecken .	faphan
faphar	bsb10314207	105	Vnterzelen .	faphar
fapor	bsb11762465	1000	Ricchung .	fapor
fappan	bsb11762465	1041	Sch	fappan
fara	bsb11762465	1082	Seen .	fara
farabh	bsb10314207	182	Werme .	farabh
farach	bsb11762465	441	Faul seyn .	farach
farad	bsb10314207	38	Vbrig seyn .	farad
farag	bsb11762465	469	Flechten .	farag
farah	bsb11762465	68	Abwenden .	farah
faraph	bsb10314207	45	Verbrennen .	faraph
farar	bsb11762465	333	Drengen .	farar
farcinare	bsb11762465	920	Neen .	farcinare
fare	bsb11762465	1068	Schütteln .	fare
farifia	bsb11762465	1116	Spieß / Langspich .	farifia
farinam	bsb11762465	786	Knetten .	Farinam
faris	bsb10314207	72	Verschnittener .	faris
farnim	bsb10314207	3	Taffel .	farnim
farrago	bsb11762465	508	Futter .	farrago
fast	bsb10314207	3	Tagen .	fast
fatah	bsb10314207	180	Wenden .	fatah
fatan	bsb10314207	122	Vngunst .	fatan
fath	bsb11762465	259	Brennen .	fath
fatham	bsb10314207	92	Vmbschliessen .	fatham
fathar	bsb10314207	43	Ve	fathar
fatio	bsb11762465	408	Erstattung .	fatio
fator	bsb11762465	1062	Schopffer .	fator
fatum	bsb10314207	14	Tode ..	fatum
fatyriasis	bsb11762465	859	Malacey / Auffak .	fatyriasis
faucibus	bsb11762465	1052	Schlund / Rachen .	faucibus
fauere	bsb11762465	1072	Schweigen .	fauere
faul	bsb11762465	818	Langsam	Faul
faulx	bsb11762465	270	Buchbawm .	faulx
fauuement	bsb11762465	667	Heil .	fauuement
fauſtas	bsb11762465	477	Fluchen .	fauſtas
fayant	bsb11762465	270	Buchbawm .	fayant
fceleftus	bsb11762465	248	Bofwicht / bube .	fceleftus
fcentiam	bsb11762465	761	Jüngling .	fcentiam
fceptre	bsb11762465	1019	Sawhirt .	fceptre
fcere	bsb10314207	3	Tagen .	fcere
fcha	bsb10314207	24	Tr	fcha-
fchaag	bsb11762465	266	Brüllen .	fchaag
fchaah	bsb11762465	407	Erstarren .	fchaah
fchaal	bsb11762465	103	Anschawen .	fchaal
fchaar	bsb10314207	13	Thor / Pforte .	fchaar
fchaath	bsb10314207	24	Tritt .	fchaath
fchab	bsb11762465	122	Au	fchab-
fchabbath	bsb11762465	64	Ablassung .	fchabbath
fchabh	bsb11762465	227	Eitt erhören .	fchabh
fchabhar	bsb10314207	13	Thür zerbrechen .	fchabhar
fchabhlul	bsb11762465	1056	Schneck .	fchabhlul
fchabli	bsb11762465	133	Ausbleiben .	fchabli
fchach	bsb11762465	1140	Strecken .	fchach
fchachabh	bsb11762465	197	Beschlaffen .	fchachabh
fchachak	bsb11762465	1117	Spielen .	fchachak
fchachal	bsb11762465	852	Lowe .	fchachal
fchachar	bsb11762465	899	Morgenrote .	fchachar
fchacharuth	bsb11762465	1076	Schwerke .	fchacharuth
fchache	bsb11762465	561	Geschwulst .	fchache
fchachen	bsb11762465	908	Nachbawer .	fchachen
fchachor	bsb11762465	1072	he Farbe .	fchachor
fchadad	bsb10314207	210	Wufte machen .	fchadad
fchadaph	bsb11762465	1081	Schen .	fchadaph
fchaf	bsb10314207	52	Ve	fchaf
fchafa	bsb10314207	81	Verwüsten .	fchafa
fchafah	bsb11762465	184	Berauben .	fchafah
fchafaph	bsb11762465	1033	tich Gemach .	fchafaph
fchaffeah	bsb11762465	561	Geschrey .	fchaffeah
fchafua	bsb11762465	564	Gespalten .	fchafua
fchaga	bsb10314207	210	Wüten .	fchaga
fchah	bsb11762465	830	Leihen .	fchah
fchahadur	bsb11762465	72	Adel .	fchahadur
