volume	scan	headword_ocr	token
bsb10314207	44	Verborgen sein .	niftar
bsb10314207	44	Verborgen sein .	chabah
bsb10314207	45	Verbrennen .	faraph
bsb10314207	45	Verbrennen .	hibhir
bsb10314207	45	Verbrennen .	hititfith
bsb10314207	45	Verbrennen .	hokod
bsb10314207	45	Verbrennen .	abh
bsb10314207	45	Verbrennen .	abh
bsb10314207	45	Verdammen .	hirfchiah
bsb10314207	45	Verdammen .	chiiebh
bsb10314207	46	Verdammung .	ibbed
bsb10314207	46	Verdammung .	cillah
bsb10314207	46	Verdammung .	gimmer
bsb10314207	46	Verdammung .	abad
bsb10314207	46	Verdammung .	alagamar
bsb10314207	46	Verdammung .	aphaphas
bsb10314207	47	Mensch .	ratchara
bsb10314207	47	Be	abhaddon
bsb10314207	47	Be	debher
bsb10314207	47	Paffiue .	houa
bsb10314207	47	Paffiue .	Græc
bsb10314207	47	Clades .	ibbad
bsb10314207	48	Verdienst .	achár
bsb10314207	48	Verdingen .	achar
bsb10314207	48	Verdorren .	chaabh
bsb10314207	49	Verdunckeln .	hechefchich
bsb10314207	49	Verdunckeln .	chidah
bsb10314207	49	Verendern .	chanah
bsb10314207	49	Verendern .	chalaph
bsb10314207	49	Verendern .	haphach
bsb10314207	49	Verenderung .	chaliphah
bsb10314207	49	Verenderung .	thahaphuchah
bsb10314207	49	Verfaulen .	neclach
bsb10314207	50	Verfaulet .	nealach
bsb10314207	50	Verfluchen .	Græc
bsb10314207	50	Verflucht .	arur
bsb10314207	50	Verfluchung .	plurale
bsb10314207	50	Verfluchung .	kelalah
bsb10314207	50	Verfolgen .	radaph
bsb10314207	50	Verfüren .	pittah
bsb10314207	50	Verfüren .	hichichi
bsb10314207	50	Verfüren .	hitcha
bsb10314207	50	Vergeben .	ach
bsb10314207	52	Ve	fchaf
bsb10314207	52	Ve	fchaf
bsb10314207	54	De	calah
bsb10314207	54	Vergeltung .	gemul
bsb10314207	54	Vergeltung .	fchillunı
bsb10314207	54	Vergessen .	chachacha
bsb10314207	54	Gall Vergeßligkeit .	chiah
bsb10314207	56	Vergleichen .	himichil
bsb10314207	56	Vergleichen .	rach
bsb10314207	56	Vergülden .	tippah
bsb10314207	56	Vergülden .	tippah
bsb10314207	56	Vergunnen .	than
bsb10314207	56	Vergunnen .	hinniach
bsb10314207	56	Verhålen .	heelim
bsb10314207	56	Verhålen .	cachad
bsb10314207	56	Verhålen .	fah
bsb10314207	56	Verhalten .	hithappek
bsb10314207	57	Verharren .	amad
bsb10314207	57	Verharrung .	nathan
bsb10314207	57	Verharrung .	hinniach
bsb10314207	57	Verhcerung .	ſchammah
bsb10314207	58	Ve	hifchah
bsb10314207	58	Ve	hechedfik
bsb10314207	58	Verhertet .	Kafcheh
bsb10314207	58	Verhertet werden .	Kafchah
bsb10314207	58	Verhertet werden .	chadſak
bsb10314207	58	Verhertung .	Kochi
bsb10314207	58	Verhüten .	fcha
bsb10314207	58	Veriagen .	henis
bsb10314207	58	Item .	chil
bsb10314207	58	Verjagter .	vana
bsb10314207	59	Ve	nimchar
bsb10314207	59	Verkeren .	Græc
bsb10314207	59	Verfert .	præpofterus
bsb10314207	60	Verklagen .	hilfchin
bsb10314207	60	Verklagter .	chaiiabh
bsb10314207	60	Verkündigen ,	higgid
bsb10314207	60	Verlachen .	laag
bsb10314207	61	Verlacher .	metſachek
bsb10314207	61	Verlachung .	techok
bsb10314207	61	Verlaffen .	chamarianach
bsb10314207	61	Verlauffen .	cha
bsb10314207	61	Be	heerich
bsb10314207	61	Verleken .	innah
bsb10314207	62	Ve	cachach
bsb10314207	62	Vermackeln .	timme
bsb10314207	62	Vermacklung .	temah
bsb10314207	63	Vermercken .	dorari
bsb10314207	63	Vermehren .	birbah
bsb10314207	63	Vermehren .	hofiph
bsb10314207	64	Vermischen .	arabhalach
bsb10314207	64	Vermischen .	maach
bsb10314207	64	ond Mannes .	miſchgal
bsb10314207	64	ond Mannes .	miſchgal
bsb10314207	65	Ve	mifchabh
bsb10314207	65	Ve	fchechobheth
